,DATE,UNEMP,SENT,PSR,GDP/C,EXP/C
0,2007-01,4.6,96.9,3.2,51492.0,31842.0
1,2007-02,4.5,91.3,3.6,51563.0,31936.333333333332
2,2007-03,4.4,88.4,3.9,51634.0,32030.666666666668
3,2007-04,4.5,87.1,3.8,51705.0,32125.0
4,2007-05,4.4,88.3,3.6,51764.0,32229.333333333332
5,2007-06,4.6,85.3,3.5,51823.0,32333.666666666668
6,2007-07,4.7,90.4,3.4,51882.0,32438.0
7,2007-08,4.6,83.4,3.1,51943.333333333336,32563.333333333332
8,2007-09,4.7,83.4,3.1,52004.666666666664,32688.666666666668
9,2007-10,4.7,80.9,3.0,52066.0,32814.0
10,2007-11,4.7,76.1,2.8,51957.333333333336,32864.0
11,2007-12,5.0,75.5,3.2,51848.666666666664,32914.0
12,2008-01,5.0,78.4,3.2,51740.0,32964.0
13,2008-02,4.9,70.8,3.6,51801.0,33077.333333333336
14,2008-03,5.1,69.5,3.4,51862.0,33190.666666666664
15,2008-04,5.0,62.6,2.9,51923.0,33304.0
16,2008-05,5.4,59.8,7.3,51789.666666666664,33309.0
17,2008-06,5.6,56.4,5.1,51656.333333333336,33314.0
18,2008-07,5.8,61.2,4.0,51523.0,33319.0
19,2008-08,6.1,63.0,3.5,51109.0,33018.0
20,2008-09,6.1,70.3,4.3,50695.0,32717.0
21,2008-10,6.5,57.6,5.2,50281.0,32416.0
22,2008-11,6.8,55.3,6.3,50052.0,32294.0
23,2008-12,7.3,60.1,6.2,49823.0,32172.0
24,2009-01,7.8,61.2,6.2,49594.0,32050.0
25,2009-02,8.3,56.3,5.6,49532.0,32018.0
26,2009-03,8.7,57.3,5.9,49470.0,31986.0
27,2009-04,9.0,65.1,6.6,49408.0,31954.0
28,2009-05,9.4,68.7,7.9,49429.666666666664,32074.666666666668
29,2009-06,9.5,70.8,6.2,49451.333333333336,32195.333333333332
30,2009-07,9.5,66.0,5.5,49473.0,32316.0
31,2009-08,9.6,65.7,4.5,49610.666666666664,32362.0
32,2009-09,9.8,73.5,5.6,49748.333333333336,32408.0
33,2009-10,10.0,70.6,5.2,49886.0,32454.0
34,2009-11,9.9,67.4,5.6,49936.0,32536.666666666668
35,2009-12,9.9,72.5,5.6,49986.0,32619.333333333332
36,2010-01,9.8,74.4,5.9,50036.0,32702.0
37,2010-02,9.8,73.6,5.6,50165.333333333336,32796.0
38,2010-03,9.9,73.6,5.6,50294.666666666664,32890.0
39,2010-04,9.9,72.2,6.2,50424.0,32984.0
